title,cast_power,creator_power,ip_power,platform_strategy,pre_buzz_raw,genre_market_fit,lead_actors,director,writer,platform,channel,day_slot,time_slot,genre,genre_key,release_date,episodes,year,has_ip,season_number,notes
21세기 대군부인,10,8,2,7,9,6,아이유|변우석|노상현|공승연,박준화|배희영,유지원,MBC+Disney+,MBC,토일,21:20,"로맨스,사극",historical,2026.04.10,,2026,False,,아이유+변우석 펀덱스 1|2위
유미의 세포들3,7,7,9,7,5,6,김고은|김재원|전석호|최다니엘,이상엽,송재정,TVING→tvN,tvN,월,21:00,"공감,로맨스",romantic,2026.04.13,8,2026,False,3,네이버 웹툰 30억뷰
모두가 자신의 무가치함과 싸우고 있다,7,6,2,8,5,7,구교환|고윤정|오정세|강말금|박해준|배종옥|한선화|최원영,차영훈,박해영,JTBC+Netflix+TVING,JTBC,토일,22:30,휴먼드라마,human,,,2026,False,,일본 만화 원작
허수아비,6,5,3,4,3,7,박해수|이희준|진서연|진선규,박준우,이지현,ENA+GenieTV,ENA,수목,21:00,"범죄,수사,스릴러",thriller,2026.04.20,12,2026,False,,실제사건 모티브
오늘도 매진했습니다,8,8,2,8,5,5,안효섭|채원빈|김범|고두심 외,이슬기,진승희,SBS+Netflix,SBS,수목,22:00,"로맨스,코미디",romantic,2026.04.22,,2026,False,,안효섭+채원빈
기리고,3,3,2,10,2,6,노정의|이우제|박예은|임형준,박윤서,박중섭,Netflix,넷플릭스,,,"영어덜트,호러",horror,2026.04.24,,2026,True,,Netflix 첫 영어덜트 호러
은밀한 감사,7,6,2,6,4,5,신혜선|공명|김재욱,이수현,여은호,tvN+TVING,tvN,토일,21:20,"오피스,로맨틱코미디",romantic,,,2026,False,,신혜선·공명·김재욱
골드랜드,6,5,2,9,3,7,박보영|김성철|이현욱|김희원|문정희|이광수,김성훈,황조윤,Disney+,디즈니+,,,"범죄,서스펜스",thriller,2026.04.29,,2026,True,,디즈니+ 첫 한국 오리지널
로맨스의 절댓값,0,0,0,0,0,0,여의주|김향기|가우수|차학연|노다주|김재현|정기전|손정혁|윤동주|김동규,,,,쿠팡플레이,,,,,,,2026,True,,6축 미산정(신규 발견 — 자동산정 대기)
멋진 신세계,7,7,2,8,5,5,임지연|허남준,한태섭,강현주,SBS+Netflix,SBS,금토,22:00,"빙의,로코,판타지",romantic,2026.05.08,,2026,False,,임지연 1인2역(강단심+신서리)|대군부인과 4주 겹침|첫방 5/8
취사병 전설이 되다,8,8,9,8,7,8,박지훈,조남형,최룡,TVING+tvN,tvN,월화,20:50,"밀리터리,요리,판타지",comedy,2026.05.11,,2026,True,,제이로빈 웹툰 원작|첫방 5.8% 적중|프랑스 시리즈마니아 특별상영|박지훈 천만배우 복귀작
원더풀스,9,9,3,10,5,6,박은빈|차은우|손현주|김해숙|최대훈|임성재,유인식,허다중,Netflix,넷플릭스,전편공개,전편공개,"초능력,코믹,액션",action,2026.05.15,8,2026,False,,1999년 해성시 배경|차은우 군복무로 사전 프로모션 부재|유인식x박은빈 우영우 콤비 재회
오십프로,8,7,2,6,4,7,신하균|오정세|허성태,한동화,장원섭,MBC+TVING+Wavve,MBC,금토,21:50,"액션,코미디,범죄",action,2026.05.22,,2026,False,,21세기 대군부인 후속|외딴섬 영선도|신하균x오정세 8년만 재회
신입사원 강 회장,8,7,6,6,5,5,손현주|이준영|이주명|전혜진|진구|정재성,고혜진,현지민,JTBC+TVING,JTBC,토일,22:40,"기업,오피스,판타지,미스터리",human,2026.05.30,12,2026,True,,김순옥 크리에이터|산경 웹소설 원작|영혼체인지|손현주x이준영
